method,modules,rank,time,gpu,loss,f1,accuracy,pst_dataset
QLoRA fp4,q+v,32,317.7011807,3.512493134,0.517493665,0.879764198,0.88005358,1500
QLoRA fp4,q+k+v,4,333.9250147,3.548416138,0.528421521,0.858123341,0.858377983,1500
QLoRA fp4,q+k+v,8,331.2496412,3.561943054,0.529037118,0.871819334,0.872016561,1500
QLoRA fp4,q+k+v,16,330.8366611,3.581184387,0.499995828,0.881364827,0.881636629,1500
QLoRA fp4,q+k+v,32,331.1910024,3.630409241,0.49803111,0.885097646,0.885411593,1500
QLoRA fp4,q+k+v+o,4,346.6923366,3.719158173,0.516170681,0.872166155,0.87238188,1500
QLoRA fp4,q+k+v+o,8,344.9503357,3.737873077,0.547135293,0.871484952,0.871651242,1500
QLoRA fp4,q+k+v+o,16,343.8602026,3.768466949,0.532169461,0.879854616,0.88005358,1500
QLoRA fp4,q+k+v+o,32,347.192795,3.832584381,0.509034991,0.884712237,0.884802728,1500
baseline,,,78.61966753,4.039239407,1.26171875,0.456687587,0.46809547,300
LoRA,q+v,4,150.9533634,4.574847221,1.349692702,0.376381019,0.394422796,300
LoRA,q+v,8,152.1653888,4.590792656,1.017888308,0.567854268,0.574525085,300
LoRA,q+v,16,151.28459,4.604861259,0.655675948,0.749366193,0.749878227,300
LoRA,q+v,32,152.0158288,4.642519951,0.523394763,0.82701982,0.825864588,300
LoRA,q+k+v,4,158.2170796,4.678442955,1.311217427,0.404439561,0.416463712,300
LoRA,q+k+v,8,157.1467063,4.676100731,1.183087468,0.467118765,0.478324403,300
LoRA,q+k+v,16,157.4926884,4.70925808,0.943156183,0.595914369,0.601436922,300
LoRA,q+k+v,32,157.7051847,4.745055199,0.519448578,0.809981822,0.809425231,300
LoRA,q+k+v+o,4,164.3625684,4.832339287,1.049450159,0.540226636,0.547491476,300
LoRA,q+k+v+o,8,164.3599977,4.861552238,0.843545318,0.652209773,0.652946907,300
LoRA,q+k+v+o,16,162.5258198,4.883601189,0.586094916,0.776857594,0.776181198,300
LoRA,q+k+v+o,32,164.592355,4.960658073,0.506200254,0.836801425,0.836458841,300
QLoRA nf4,q+v,4,151.8889968,4.581194878,1.264397979,0.426582836,0.435825621,300
QLoRA nf4,q+v,8,151.0496523,4.59447813,1.221697569,0.448241442,0.46042377,300
QLoRA nf4,q+v,16,150.6900041,4.604372978,1.010685325,0.559468064,0.566366293,300
QLoRA nf4,q+v,32,150.8720653,4.645808697,0.586154878,0.768178497,0.767048222,300
QLoRA nf4,q+k+v,4,156.9818721,4.670386314,1.311217427,0.404439561,0.416463712,300
QLoRA nf4,q+k+v,8,157.164247,4.690505028,0.995629966,0.5709099,0.575742815,300
QLoRA nf4,q+k+v,16,156.1686559,4.706084251,0.764832556,0.698049485,0.697759377,300
QLoRA nf4,q+k+v,32,157.0689375,4.75726223,0.526901424,0.808113821,0.807598636,300
QLoRA nf4,q+k+v+o,4,162.9859037,4.841616631,1.049450159,0.540226636,0.547491476,300
QLoRA nf4,q+k+v+o,8,162.7753654,4.86204052,0.680901647,0.735452417,0.736117876,300
QLoRA nf4,q+k+v+o,16,161.4936779,4.891413689,0.504870772,0.829234457,0.828056503,300
QLoRA nf4,q+k+v+o,32,163.2877772,4.957240105,0.525569379,0.848400777,0.847296639,300
QLoRA fp4,q+v,4,152.6291258,4.585589409,1.298570037,0.408149278,0.419020945,300
QLoRA fp4,q+v,8,152.6091998,4.591060162,1.256251574,0.434013092,0.444471505,300
QLoRA fp4,q+v,16,153.6937025,4.608767509,1.085952878,0.531642562,0.538723819,300
QLoRA fp4,q+v,32,153.2718015,4.641414165,0.710368037,0.710833947,0.712006819,300
QLoRA fp4,q+k+v,4,159.8153369,4.674292564,1.330442905,0.400837221,0.410496834,300
QLoRA fp4,q+k+v,8,158.9702992,4.689040184,1.014870882,0.564742275,0.571724306,300
QLoRA fp4,q+k+v,16,158.2761998,4.707549095,0.775238812,0.695904648,0.696419873,300
QLoRA fp4,q+k+v,32,158.7584004,4.757506371,0.551760197,0.804386245,0.803945446,300
QLoRA fp4,q+k+v+o,4,166.8750687,4.841616631,1.075495958,0.527577133,0.537262543,300
QLoRA fp4,q+k+v+o,8,163.9787188,4.863017082,0.858873725,0.655354867,0.660862153,300
QLoRA fp4,q+k+v+o,16,163.1727312,4.889460564,0.563589036,0.798811926,0.798830979,300
QLoRA fp4,q+k+v+o,32,164.5122979,4.96309948,0.567376852,0.838954585,0.837920117,300
