dataset,model,method,modules,rank,time,gpu,loss,f1,accuracy,pst_dataset
EN,qwen3,LoRA,q+k+v+o,8,18.62325967,3.482932568,0.317382813,0.929729362,0.929736842,8000
EN,qwen3,LoRA,q+k+v+o,16,18.61955736,3.511985302,0.302001953,0.933106758,0.933157895,8000
EN,qwen3,LoRA,q+k+v+o,32,19.46518961,3.570090771,0.291992188,0.935108659,0.935131579,8000
EN,qwen3,QLoRA nf4,q+v,4,19.95428161,2.351658344,0.364120454,0.924616444,0.924736842,8000
EN,qwen3,QLoRA nf4,q+v,8,19.94303703,2.357594013,0.32921356,0.924638737,0.924736842,8000
EN,qwen3,QLoRA nf4,q+v,16,19.96656206,2.373371601,0.334039092,0.927336701,0.927368421,8000
EN,qwen3,QLoRA nf4,q+v,32,20.15587508,2.406879902,0.316030174,0.929638131,0.929736842,8000
EN,qwen3,QLoRA nf4,q+k+v,4,21.15512638,2.437920094,0.355057269,0.923605725,0.923684211,8000
EN,qwen3,QLoRA nf4,q+k+v,8,21.12765711,2.448517323,0.331819952,0.925700802,0.925789474,8000
EN,qwen3,QLoRA nf4,q+k+v,16,20.98143413,2.472641468,0.32973671,0.927674857,0.927763158,8000
EN,qwen3,QLoRA nf4,q+k+v,32,21.11280723,2.516495228,0.309299797,0.931894413,0.931973684,8000
EN,qwen3,QLoRA nf4,q+k+v+o,4,22.61887935,2.603535175,0.336401135,0.925836386,0.925921053,8000
EN,qwen3,QLoRA nf4,q+k+v+o,8,22.37768382,2.618832111,0.321073532,0.929998609,0.930131579,8000
EN,qwen3,QLoRA nf4,q+k+v+o,16,21.99991355,2.652599812,0.313060939,0.93111204,0.931184211,8000
EN,qwen3,QLoRA nf4,q+k+v+o,32,21.88714502,2.713543415,0.2973454,0.933881412,0.933947368,8000
EN,qwen3,QLoRA fp4,q+v,4,20.13313807,2.347752094,0.358082026,0.922394641,0.9225,8000
EN,qwen3,QLoRA fp4,q+v,8,20.07341783,2.355640888,0.346843839,0.926474389,0.926578947,8000
EN,qwen3,QLoRA fp4,q+v,16,19.99448948,2.368000507,0.330764204,0.926902775,0.926973684,8000
EN,qwen3,QLoRA fp4,q+v,32,20.0469723,2.402973652,0.330305606,0.93108035,0.931184211,8000
EN,qwen3,QLoRA fp4,q+k+v,4,21.31378049,2.435722828,0.362748563,0.92081382,0.920921053,8000
EN,qwen3,QLoRA fp4,q+k+v,8,20.97119502,2.448273182,0.345094949,0.922065053,0.922105263,8000
EN,qwen3,QLoRA fp4,q+k+v,16,20.97513359,2.464828968,0.33608529,0.930427472,0.930526316,8000
EN,qwen3,QLoRA fp4,q+k+v,32,21.04213572,2.516251087,0.311504602,0.931200206,0.931184211,8000
EN,qwen3,QLoRA fp4,q+k+v+o,4,22.02308227,2.605000019,0.346421748,0.92319369,0.923289474,8000
EN,qwen3,QLoRA fp4,q+k+v+o,8,21.91871862,2.620052814,0.33550036,0.92479009,0.924868421,8000
EN,qwen3,QLoRA fp4,q+k+v+o,16,21.83480288,2.65186739,0.320426792,0.928990049,0.929078947,8000
EN,qwen3,QLoRA fp4,q+k+v+o,32,22.03037157,2.716473103,0.305490166,0.932208896,0.932236842,8000
EN,qwen3,baseline,,,2.845,1.289077759,0.412597656,0.853451018,0.853758278,3000
EN,qwen3,LoRA,q+v,4,6.676666667,3.047973156,0.413574219,0.914207926,0.914473684,3000
EN,qwen3,LoRA,q+v,8,6.713333333,3.055236339,0.39819335,0.915588019,0.915789474,3000
EN,qwen3,LoRA,q+v,16,6.645,3.0697627,0.37915039,0.91668337,0.916842105,3000
EN,qwen3,LoRA,q+v,32,6.833333333,3.09881544,0.37255859,0.920322614,0.920526316,3000
EN,qwen3,LoRA,q+k+v,4,7.236166667,3.190669537,0.39111328,0.913640724,0.913815789,3000
EN,qwen3,LoRA,q+k+v,8,7.296666667,3.200923,0.387207315,0.91541387,0.915657895,3000
EN,qwen3,LoRA,q+k+v,16,7.216666667,3.22143125,0.36743164,0.91842142,0.918684211,3000
EN,qwen3,LoRA,q+k+v,32,7.443333333,3.26244688,0.361572266,0.921391785,0.921578947,3000
EN,qwen3,LoRA,q+k+v+o,4,7.916666667,3.4684062,0.3840332,0.91384234,0.914078947,3000
EN,qwen3,LoRA,q+k+v+o,8,7.878333333,3.482932568,0.37597656,0.915292571,0.915526316,3000
EN,qwen3,LoRA,q+k+v+o,16,7.85,3.5119853,0.359130859,0.919954907,0.920131579,3000
EN,qwen3,LoRA,q+k+v+o,32,8.216666667,3.5700907,0.355712891,0.923774435,0.923947368,3000
EN,qwen3,QLoRA nf4,q+v,4,8.554461078,2.337009907,0.406510949,0.911525287,0.911842105,3000
EN,qwen3,QLoRA nf4,q+v,8,8.563411125,2.355420113,0.414462,0.908794716,0.909078947,3000
EN,qwen3,QLoRA nf4,q+v,16,8.555383956,2.369465351,0.396051228,0.915928562,0.916184211,3000
EN,qwen3,QLoRA nf4,q+v,32,8.61006424,2.399799824,0.382431746,0.919459363,0.919736842,3000
EN,qwen3,QLoRA nf4,q+k+v,4,9.041991949,2.435722828,0.420618892,0.907065546,0.907368421,3000
