model,method,modules,rank,time,gpu,loss,f1,accuracy,pst_dataset
qwen2.5,QLoRA fp4,q+k+v,32,54.13444751,3.87833786,0.290487528,0.940975955,0.941052632,15000
qwen2.5,QLoRA fp4,q+k+v+o,4,55.73134518,3.937605381,0.315325886,0.935924563,0.936052632,15000
qwen2.5,QLoRA fp4,q+k+v+o,8,55.55566708,3.948158264,0.306926668,0.938621901,0.938684211,15000
qwen2.5,QLoRA fp4,q+k+v+o,16,55.6098762,3.985481262,0.291242272,0.943068157,0.943157895,15000
qwen2.5,QLoRA fp4,q+k+v+o,32,55.63116654,4.039985657,0.277194172,0.945059946,0.945131579,15000
qwen2.5,baseline,,,3.389787984,9.034234524,0.514648438,0.835031419,0.835394737,3000
qwen2.5,LoRA,q+v,4,7.065307117,8.526000977,0.38671875,0.905657895,0.905446675,3000
qwen2.5,LoRA,q+v,8,7.041176498,8.535842896,6.05,0.902894737,0.902571141,3000
qwen2.5,LoRA,q+v,16,7.061869534,8.541610718,4.85546875,0.904605263,0.904813298,3000
qwen2.5,LoRA,q+v,32,7.301355684,8.554811001,3.95703125,0.908421053,0.908324726,3000
qwen2.5,LoRA,q+k+v,4,7.529564512,8.734329224,0.339355469,0.911315789,0.911057744,3000
qwen2.5,LoRA,q+k+v,8,7.531154672,8.738388062,0.313232422,0.919868421,0.919592814,3000
qwen2.5,LoRA,q+k+v,16,7.546278584,8.747220516,0.331542969,0.916447368,0.916230177,3000
qwen2.5,LoRA,q+k+v,32,7.857828669,8.785672665,0.296386719,0.919078947,0.918833103,3000
qwen2.5,LoRA,q+k+v+o,4,8.159071147,8.947952271,2.671875,0.900263158,0.900083717,3000
qwen2.5,LoRA,q+k+v+o,8,8.155040622,8.953720093,0.296630859,0.926052632,0.925833598,3000
qwen2.5,LoRA,q+k+v+o,16,8.169261022,8.978692532,0.280517578,0.926315789,0.926178747,3000
qwen2.5,LoRA,q+k+v+o,32,8.628382417,9.034234524,0.262695313,0.928289474,0.928128254,3000
qwen2.5,QLoRA nf4,q+v,4,14.69226113,3.672647476,0.390876919,0.910964697,0.911184211,3000
qwen2.5,QLoRA nf4,q+v,8,14.67429702,3.67753458,0.381192952,0.91538228,0.915657895,3000
